scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-lkqz5,dfinit-podman,1789298736501,1789298845710,109209,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-zbhs4,dfinit-podman,1789298736502,1789298848341,111839,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-4785w,dfinit-podman,1789298736501,1789298850124,113623,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-m5dbd,dfinit-podman,1789298736502,1789298850440,113938,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-xzqm4,dfinit-podman,1789298736502,1789298850898,114396,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-rqsnq,dfinit-podman,1789298736502,1789298851147,114645,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-qt9gs,dfinit-podman,1789298736502,1789298852878,116376,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-zxdvs,dfinit-podman,1789298736502,1789298853460,116958,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-hpdzs,dfinit-podman,1789298736501,1789298853942,117441,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-hvxqd,dfinit-podman,1789298736501,1789298855897,119396,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,dfinit-podman,1789298736496,1789298855902,119406,0
pr18,recreate,riid/python:latest,riid-zbhs4,dfinit-podman,1789298855912,1789298869738,13826,0
pr18,recreate,riid/python:latest,riid-lkqz5,dfinit-podman,1789298855913,1789298869966,14053,0
pr18,recreate,riid/python:latest,riid-rqsnq,dfinit-podman,1789298855914,1789298870055,14141,0
pr18,recreate,riid/python:latest,riid-4785w,dfinit-podman,1789298855912,1789298870358,14446,0
pr18,recreate,riid/python:latest,riid-hpdzs,dfinit-podman,1789298855913,1789298870605,14692,0
pr18,recreate,riid/python:latest,riid-hvxqd,dfinit-podman,1789298855913,1789298870615,14702,0
pr18,recreate,riid/python:latest,riid-m5dbd,dfinit-podman,1789298855913,1789298870887,14974,0
pr18,recreate,riid/python:latest,riid-xzqm4,dfinit-podman,1789298855913,1789298870891,14978,0
pr18,recreate,riid/python:latest,riid-zxdvs,dfinit-podman,1789298855914,1789298871034,15120,0
pr18,recreate,riid/python:latest,riid-qt9gs,dfinit-podman,1789298855913,1789298871178,15265,0
pr18,recreate,riid/python:latest,AGGREGATE,dfinit-podman,1789298855907,1789298871183,15276,0
pr18,recreate,riid/datadog/agent:latest,riid-4785w,dfinit-podman,1789298871194,1789298884976,13782,0
pr18,recreate,riid/datadog/agent:latest,riid-zbhs4,dfinit-podman,1789298871195,1789298885253,14058,0
pr18,recreate,riid/datadog/agent:latest,riid-rqsnq,dfinit-podman,1789298871194,1789298885383,14189,0
pr18,recreate,riid/datadog/agent:latest,riid-m5dbd,dfinit-podman,1789298871194,1789298885422,14228,0
pr18,recreate,riid/datadog/agent:latest,riid-qt9gs,dfinit-podman,1789298871193,1789298885727,14534,0
pr18,recreate,riid/datadog/agent:latest,riid-lkqz5,dfinit-podman,1789298871194,1789298885832,14638,0
pr18,recreate,riid/datadog/agent:latest,riid-xzqm4,dfinit-podman,1789298871195,1789298886097,14902,0
pr18,recreate,riid/datadog/agent:latest,riid-hpdzs,dfinit-podman,1789298871194,1789298886195,15001,0
pr18,recreate,riid/datadog/agent:latest,riid-hvxqd,dfinit-podman,1789298871194,1789298886196,15002,0
pr18,recreate,riid/datadog/agent:latest,riid-zxdvs,dfinit-podman,1789298871195,1789298886334,15139,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,dfinit-podman,1789298871189,1789298886340,15151,0
pr18,recreate,riid/node:latest,riid-xzqm4,dfinit-podman,1789298886351,1789298892210,5859,0
pr18,recreate,riid/node:latest,riid-rqsnq,dfinit-podman,1789298886351,1789298892233,5882,0
pr18,recreate,riid/node:latest,riid-hvxqd,dfinit-podman,1789298886350,1789298892392,6042,0
pr18,recreate,riid/node:latest,riid-4785w,dfinit-podman,1789298886351,1789298892391,6040,0
pr18,recreate,riid/node:latest,riid-lkqz5,dfinit-podman,1789298886351,1789298892450,6099,0
pr18,recreate,riid/node:latest,riid-hpdzs,dfinit-podman,1789298886351,1789298892497,6146,0
pr18,recreate,riid/node:latest,riid-zbhs4,dfinit-podman,1789298886351,1789298892656,6305,0
pr18,recreate,riid/node:latest,riid-qt9gs,dfinit-podman,1789298886351,1789298892766,6415,0
pr18,recreate,riid/node:latest,riid-zxdvs,dfinit-podman,1789298886351,1789298892927,6576,0
pr18,recreate,riid/node:latest,riid-m5dbd,dfinit-podman,1789298886350,1789298894019,7669,0
pr18,recreate,riid/node:latest,AGGREGATE,dfinit-podman,1789298886345,1789298894025,7680,0
pr18,recreate,riid/grafana/grafana:latest,riid-lkqz5,dfinit-podman,1789298894035,1789298910718,16683,0
pr18,recreate,riid/grafana/grafana:latest,riid-zbhs4,dfinit-podman,1789298894036,1789298911544,17508,0
pr18,recreate,riid/grafana/grafana:latest,riid-rqsnq,dfinit-podman,1789298894036,1789298911544,17508,0
pr18,recreate,riid/grafana/grafana:latest,riid-4785w,dfinit-podman,1789298894035,1789298911644,17609,0
pr18,recreate,riid/grafana/grafana:latest,riid-xzqm4,dfinit-podman,1789298894035,1789298912012,17977,0
pr18,recreate,riid/grafana/grafana:latest,riid-hvxqd,dfinit-podman,1789298894035,1789298912140,18105,0
pr18,recreate,riid/grafana/grafana:latest,riid-m5dbd,dfinit-podman,1789298894035,1789298912332,18297,0
pr18,recreate,riid/grafana/grafana:latest,riid-qt9gs,dfinit-podman,1789298894036,1789298912402,18366,0
pr18,recreate,riid/grafana/grafana:latest,riid-zxdvs,dfinit-podman,1789298894036,1789298912662,18626,0
pr18,recreate,riid/grafana/grafana:latest,riid-hpdzs,dfinit-podman,1789298894036,1789298913408,19372,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,dfinit-podman,1789298894030,1789298913413,19383,0
pr18,recreate,riid/postgres:latest,riid-hvxqd,dfinit-podman,1789298913424,1789298922149,8725,0
pr18,recreate,riid/postgres:latest,riid-zbhs4,dfinit-podman,1789298913425,1789298922150,8725,0
pr18,recreate,riid/postgres:latest,riid-rqsnq,dfinit-podman,1789298913425,1789298922184,8759,0
pr18,recreate,riid/postgres:latest,riid-hpdzs,dfinit-podman,1789298913424,1789298922362,8938,0
pr18,recreate,riid/postgres:latest,riid-4785w,dfinit-podman,1789298913424,1789298922368,8944,0
pr18,recreate,riid/postgres:latest,riid-zxdvs,dfinit-podman,1789298913426,1789298922382,8956,0
pr18,recreate,riid/postgres:latest,riid-lkqz5,dfinit-podman,1789298913424,1789298922451,9027,0
pr18,recreate,riid/postgres:latest,riid-xzqm4,dfinit-podman,1789298913425,1789298922514,9089,0
pr18,recreate,riid/postgres:latest,riid-qt9gs,dfinit-podman,1789298913424,1789298922763,9339,0
pr18,recreate,riid/postgres:latest,riid-m5dbd,dfinit-podman,1789298913425,1789298922979,9554,0
pr18,recreate,riid/postgres:latest,AGGREGATE,dfinit-podman,1789298913418,1789298922984,9566,0
pr18,recreate,riid/mongo:latest,riid-xzqm4,dfinit-podman,1789298922994,1789298937512,14518,0
pr18,recreate,riid/mongo:latest,riid-qt9gs,dfinit-podman,1789298922995,1789298938246,15251,0
pr18,recreate,riid/mongo:latest,riid-lkqz5,dfinit-podman,1789298922995,1789298938435,15440,0
pr18,recreate,riid/mongo:latest,riid-hvxqd,dfinit-podman,1789298922995,1789298938470,15475,0
pr18,recreate,riid/mongo:latest,riid-rqsnq,dfinit-podman,1789298922995,1789298938712,15717,0
pr18,recreate,riid/mongo:latest,riid-m5dbd,dfinit-podman,1789298922994,1789298938763,15769,0
pr18,recreate,riid/mongo:latest,riid-zbhs4,dfinit-podman,1789298922994,1789298938825,15831,0
pr18,recreate,riid/mongo:latest,riid-4785w,dfinit-podman,1789298922995,1789298938906,15911,0
pr18,recreate,riid/mongo:latest,riid-zxdvs,dfinit-podman,1789298922995,1789298939584,16589,0
pr18,recreate,riid/mongo:latest,riid-hpdzs,dfinit-podman,1789298922995,1789298939628,16633,0
pr18,recreate,riid/mongo:latest,AGGREGATE,dfinit-podman,1789298922989,1789298939634,16645,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-hpdzs,dfinit-podman,1789298939643,1789298942687,3044,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-lkqz5,dfinit-podman,1789298939642,1789298943062,3420,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-xzqm4,dfinit-podman,1789298939643,1789298943071,3428,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-zxdvs,dfinit-podman,1789298939643,1789298943143,3500,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-rqsnq,dfinit-podman,1789298939642,1789298943585,3943,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-4785w,dfinit-podman,1789298939643,1789298944119,4476,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-zbhs4,dfinit-podman,1789298939643,1789298944183,4540,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-m5dbd,dfinit-podman,1789298939642,1789298944207,4565,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-hvxqd,dfinit-podman,1789298939643,1789298944244,4601,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-qt9gs,dfinit-podman,1789298939643,1789298944623,4980,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,AGGREGATE,dfinit-podman,1789298939638,1789298944628,4990,0
pr18,recreate,riid/mysql:latest,riid-4785w,dfinit-podman,1789298944638,1789298956521,11883,0
pr18,recreate,riid/mysql:latest,riid-m5dbd,dfinit-podman,1789298944638,1789298956843,12205,0
pr18,recreate,riid/mysql:latest,riid-zbhs4,dfinit-podman,1789298944639,1789298956966,12327,0
pr18,recreate,riid/mysql:latest,riid-rqsnq,dfinit-podman,1789298944639,1789298957025,12386,0
pr18,recreate,riid/mysql:latest,riid-lkqz5,dfinit-podman,1789298944639,1789298957281,12642,0
pr18,recreate,riid/mysql:latest,riid-xzqm4,dfinit-podman,1789298944639,1789298957309,12670,0
pr18,recreate,riid/mysql:latest,riid-qt9gs,dfinit-podman,1789298944639,1789298957505,12866,0
pr18,recreate,riid/mysql:latest,riid-hvxqd,dfinit-podman,1789298944642,1789298957650,13008,0
pr18,recreate,riid/mysql:latest,riid-hpdzs,dfinit-podman,1789298944639,1789298957732,13093,0
pr18,recreate,riid/mysql:latest,riid-zxdvs,dfinit-podman,1789298944639,1789298958271,13632,0
pr18,recreate,riid/mysql:latest,AGGREGATE,dfinit-podman,1789298944633,1789298958276,13643,0
pr18,recreate,riid/sonarqube:latest,riid-zbhs4,dfinit-podman,1789298958288,1789298974905,16617,0
pr18,recreate,riid/sonarqube:latest,riid-lkqz5,dfinit-podman,1789298958287,1789298974956,16669,0
pr18,recreate,riid/sonarqube:latest,riid-rqsnq,dfinit-podman,1789298958287,1789298975009,16722,0
pr18,recreate,riid/sonarqube:latest,riid-m5dbd,dfinit-podman,1789298958287,1789298975041,16754,0
pr18,recreate,riid/sonarqube:latest,riid-4785w,dfinit-podman,1789298958287,1789298975376,17089,0
pr18,recreate,riid/sonarqube:latest,riid-hpdzs,dfinit-podman,1789298958287,1789298975471,17184,0
pr18,recreate,riid/sonarqube:latest,riid-qt9gs,dfinit-podman,1789298958288,1789298975563,17275,0
pr18,recreate,riid/sonarqube:latest,riid-xzqm4,dfinit-podman,1789298958288,1789298975746,17458,0
pr18,recreate,riid/sonarqube:latest,riid-zxdvs,dfinit-podman,1789298958288,1789298976066,17778,0
pr18,recreate,riid/sonarqube:latest,riid-hvxqd,dfinit-podman,1789298958287,1789298976105,17818,0
pr18,recreate,riid/sonarqube:latest,AGGREGATE,dfinit-podman,1789298958282,1789298976110,17828,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-zbhs4,dfinit-podman,1789298976121,1789298983031,6910,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-rqsnq,dfinit-podman,1789298976121,1789298983441,7320,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-hpdzs,dfinit-podman,1789298976120,1789298983638,7518,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-lkqz5,dfinit-podman,1789298976120,1789298983890,7770,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-qt9gs,dfinit-podman,1789298976121,1789298984122,8001,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-xzqm4,dfinit-podman,1789298976121,1789298984330,8209,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-hvxqd,dfinit-podman,1789298976120,1789298984364,8244,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-zxdvs,dfinit-podman,1789298976121,1789298984672,8551,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-4785w,dfinit-podman,1789298976120,1789298984873,8753,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-m5dbd,dfinit-podman,1789298976120,1789298985129,9009,0
pr18,recreate,riid/jenkins/jenkins:latest,AGGREGATE,dfinit-podman,1789298976115,1789298985134,9019,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-xzqm4,dfinit-podman,1789298985145,1789298989775,4630,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-m5dbd,dfinit-podman,1789298985145,1789298990189,5044,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-hpdzs,dfinit-podman,1789298985144,1789298990925,5781,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-zbhs4,dfinit-podman,1789298985145,1789298991241,6096,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-rqsnq,dfinit-podman,1789298985145,1789298991653,6508,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-zxdvs,dfinit-podman,1789298985146,1789298991666,6520,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-qt9gs,dfinit-podman,1789298985145,1789298991887,6742,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-hvxqd,dfinit-podman,1789298985145,1789298991919,6774,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-lkqz5,dfinit-podman,1789298985145,1789298992228,7083,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-4785w,dfinit-podman,1789298985144,1789298992234,7090,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,AGGREGATE,dfinit-podman,1789298985139,1789298992239,7100,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-rqsnq,dfinit-podman,1789298992249,1789299001419,9170,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-lkqz5,dfinit-podman,1789298992249,1789299001523,9274,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-zbhs4,dfinit-podman,1789298992250,1789299001788,9538,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-4785w,dfinit-podman,1789298992249,1789299001864,9615,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-zxdvs,dfinit-podman,1789298992250,1789299001867,9617,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-qt9gs,dfinit-podman,1789298992249,1789299001913,9664,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-xzqm4,dfinit-podman,1789298992250,1789299001920,9670,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-hvxqd,dfinit-podman,1789298992249,1789299001932,9683,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-m5dbd,dfinit-podman,1789298992249,1789299002329,10080,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,riid-hpdzs,dfinit-podman,1789298992249,1789299002756,10507,0
pr18,recreate,riid/envoyproxy/envoy:tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0,AGGREGATE,dfinit-podman,1789298992244,1789299002761,10517,0
pr18,recreate,riid/apache/airflow:latest,riid-lkqz5,dfinit-podman,1789299002771,1789299031840,29069,0
pr18,recreate,riid/apache/airflow:latest,riid-xzqm4,dfinit-podman,1789299002772,1789299031918,29146,0
pr18,recreate,riid/apache/airflow:latest,riid-rqsnq,dfinit-podman,1789299002772,1789299032134,29362,0
pr18,recreate,riid/apache/airflow:latest,riid-4785w,dfinit-podman,1789299002771,1789299032882,30111,0
pr18,recreate,riid/apache/airflow:latest,riid-hvxqd,dfinit-podman,1789299002771,1789299033055,30284,0
pr18,recreate,riid/apache/airflow:latest,riid-m5dbd,dfinit-podman,1789299002771,1789299033070,30299,0
pr18,recreate,riid/apache/airflow:latest,riid-zbhs4,dfinit-podman,1789299002772,1789299033457,30685,0
pr18,recreate,riid/apache/airflow:latest,riid-zxdvs,dfinit-podman,1789299002772,1789299033654,30882,0
pr18,recreate,riid/apache/airflow:latest,riid-qt9gs,dfinit-podman,1789299002772,1789299034104,31332,0
pr18,recreate,riid/apache/airflow:latest,riid-hpdzs,dfinit-podman,1789299002771,1789299035675,32904,0
pr18,recreate,riid/apache/airflow:latest,AGGREGATE,dfinit-podman,1789299002766,1789299035681,32915,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-4785w,dfinit-podman,1789299035691,1789299057391,21700,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-xzqm4,dfinit-podman,1789299035692,1789299057712,22020,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-lkqz5,dfinit-podman,1789299035691,1789299057815,22124,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-zbhs4,dfinit-podman,1789299035692,1789299058046,22354,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-m5dbd,dfinit-podman,1789299035691,1789299058209,22518,0
pr18,recreate,riid/elasticsearch:9.5.2,riid-rqsnq,dfinit-podman,1789299035692,1789299058379,22687,0
