scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-kq5n8,bare-containerd,1789308159760,1789308576317,416557,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-vmd96,bare-containerd,1789308159760,1789308577259,417499,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-2f7xn,bare-containerd,1789308159759,1789308577393,417634,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-gmmch,bare-containerd,1789308159759,1789308578237,418478,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-2glp4,bare-containerd,1789308159759,1789308579385,419626,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-bqcxb,bare-containerd,1789308159759,1789308580617,420858,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-78bth,bare-containerd,1789308159759,1789308581718,421959,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-4spgr,bare-containerd,1789308159759,1789308582179,422420,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-fkn88,bare-containerd,1789308159759,1789308585558,425799,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,riid-jkcmr,bare-containerd,1789308159759,1789308590114,430355,0
pr18,recreate,riid/datasense/datasense:0c579488240e543a8670057d01985195,AGGREGATE,bare-containerd,1789308159753,1789308590120,430367,0
pr18,recreate,riid/python:latest,riid-bqcxb,bare-containerd,1789308590130,1789308622106,31976,0
pr18,recreate,riid/python:latest,riid-2f7xn,bare-containerd,1789308590130,1789308622486,32356,0
pr18,recreate,riid/python:latest,riid-gmmch,bare-containerd,1789308590131,1789308623032,32901,0
pr18,recreate,riid/python:latest,riid-2glp4,bare-containerd,1789308590130,1789308623294,33164,0
pr18,recreate,riid/python:latest,riid-kq5n8,bare-containerd,1789308590131,1789308623946,33815,0
pr18,recreate,riid/python:latest,riid-4spgr,bare-containerd,1789308590130,1789308624052,33922,0
pr18,recreate,riid/python:latest,riid-vmd96,bare-containerd,1789308590131,1789308624147,34016,0
pr18,recreate,riid/python:latest,riid-78bth,bare-containerd,1789308590130,1789308624234,34104,0
pr18,recreate,riid/python:latest,riid-fkn88,bare-containerd,1789308590130,1789308625008,34878,0
pr18,recreate,riid/python:latest,riid-jkcmr,bare-containerd,1789308590131,1789308625106,34975,0
pr18,recreate,riid/python:latest,AGGREGATE,bare-containerd,1789308590125,1789308625111,34986,0
pr18,recreate,riid/datadog/agent:latest,riid-2f7xn,bare-containerd,1789308625122,1789308649657,24535,0
pr18,recreate,riid/datadog/agent:latest,riid-4spgr,bare-containerd,1789308625123,1789308649889,24766,0
pr18,recreate,riid/datadog/agent:latest,riid-kq5n8,bare-containerd,1789308625124,1789308649944,24820,0
pr18,recreate,riid/datadog/agent:latest,riid-bqcxb,bare-containerd,1789308625122,1789308650101,24979,0
pr18,recreate,riid/datadog/agent:latest,riid-gmmch,bare-containerd,1789308625123,1789308650461,25338,0
pr18,recreate,riid/datadog/agent:latest,riid-vmd96,bare-containerd,1789308625124,1789308650786,25662,0
pr18,recreate,riid/datadog/agent:latest,riid-fkn88,bare-containerd,1789308625123,1789308650928,25805,0
pr18,recreate,riid/datadog/agent:latest,riid-2glp4,bare-containerd,1789308625122,1789308652062,26940,0
pr18,recreate,riid/datadog/agent:latest,riid-78bth,bare-containerd,1789308625123,1789308652300,27177,0
pr18,recreate,riid/datadog/agent:latest,riid-jkcmr,bare-containerd,1789308625123,1789308652427,27304,0
pr18,recreate,riid/datadog/agent:latest,AGGREGATE,bare-containerd,1789308625117,1789308652431,27314,0
pr18,recreate,riid/node:latest,riid-bqcxb,bare-containerd,1789308652442,1789308659387,6945,0
pr18,recreate,riid/node:latest,riid-2f7xn,bare-containerd,1789308652441,1789308659388,6947,0
pr18,recreate,riid/node:latest,riid-kq5n8,bare-containerd,1789308652442,1789308659399,6957,0
pr18,recreate,riid/node:latest,riid-2glp4,bare-containerd,1789308652441,1789308659465,7024,0
pr18,recreate,riid/node:latest,riid-78bth,bare-containerd,1789308652441,1789308659467,7026,0
pr18,recreate,riid/node:latest,riid-4spgr,bare-containerd,1789308652441,1789308659494,7053,0
pr18,recreate,riid/node:latest,riid-gmmch,bare-containerd,1789308652442,1789308659494,7052,0
pr18,recreate,riid/node:latest,riid-vmd96,bare-containerd,1789308652442,1789308659517,7075,0
pr18,recreate,riid/node:latest,riid-fkn88,bare-containerd,1789308652441,1789308659545,7104,0
pr18,recreate,riid/node:latest,riid-jkcmr,bare-containerd,1789308652442,1789308659961,7519,0
pr18,recreate,riid/node:latest,AGGREGATE,bare-containerd,1789308652436,1789308659967,7531,0
pr18,recreate,riid/grafana/grafana:latest,riid-2f7xn,bare-containerd,1789308659977,1789308699938,39961,0
pr18,recreate,riid/grafana/grafana:latest,riid-bqcxb,bare-containerd,1789308659977,1789308699939,39962,0
pr18,recreate,riid/grafana/grafana:latest,riid-vmd96,bare-containerd,1789308659978,1789308699954,39976,0
pr18,recreate,riid/grafana/grafana:latest,riid-4spgr,bare-containerd,1789308659977,1789308700104,40127,0
pr18,recreate,riid/grafana/grafana:latest,riid-gmmch,bare-containerd,1789308659978,1789308700330,40352,0
pr18,recreate,riid/grafana/grafana:latest,riid-kq5n8,bare-containerd,1789308659978,1789308700408,40430,0
pr18,recreate,riid/grafana/grafana:latest,riid-78bth,bare-containerd,1789308659978,1789308700448,40470,0
pr18,recreate,riid/grafana/grafana:latest,riid-2glp4,bare-containerd,1789308659977,1789308700680,40703,0
pr18,recreate,riid/grafana/grafana:latest,riid-fkn88,bare-containerd,1789308659978,1789308700730,40752,0
pr18,recreate,riid/grafana/grafana:latest,riid-jkcmr,bare-containerd,1789308659978,1789308702974,42996,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,bare-containerd,1789308659972,1789308702980,43008,0
