scenario,mode,image,pod,backend,start_ms,end_ms,duration_ms,exit_code
pr18,recreate,riid/grafana/grafana:latest,riid-t7p4g,dfinit-containerd,1789251809430,1789251826376,16946,0
pr18,recreate,riid/grafana/grafana:latest,riid-4mtg7,dfinit-containerd,1789251809429,1789251826491,17062,0
pr18,recreate,riid/grafana/grafana:latest,riid-9d6p4,dfinit-containerd,1789251809431,1789251826809,17378,0
pr18,recreate,riid/grafana/grafana:latest,riid-j2zfn,dfinit-containerd,1789251809430,1789251827184,17754,0
pr18,recreate,riid/grafana/grafana:latest,riid-67cbt,dfinit-containerd,1789251809431,1789251827468,18037,0
pr18,recreate,riid/grafana/grafana:latest,riid-r85gx,dfinit-containerd,1789251809431,1789251827621,18190,0
pr18,recreate,riid/grafana/grafana:latest,AGGREGATE,dfinit-containerd,1789251809422,1789251827629,18207,0
pr18,recreate,riid/postgres:latest,riid-6dcfg,dfinit-containerd,1789251827645,1789251834933,7288,0
pr18,recreate,riid/postgres:latest,riid-4mtg7,dfinit-containerd,1789251827645,1789251834946,7301,0
pr18,recreate,riid/postgres:latest,riid-xmgnr,dfinit-containerd,1789251827646,1789251835464,7818,0
pr18,recreate,riid/postgres:latest,riid-j2zfn,dfinit-containerd,1789251827646,1789251835466,7820,0
pr18,recreate,riid/postgres:latest,riid-r85gx,dfinit-containerd,1789251827645,1789251835467,7822,0
pr18,recreate,riid/postgres:latest,riid-67cbt,dfinit-containerd,1789251827645,1789251835491,7846,0
pr18,recreate,riid/postgres:latest,riid-kmrbr,dfinit-containerd,1789251827645,1789251835517,7872,0
pr18,recreate,riid/postgres:latest,riid-9d6p4,dfinit-containerd,1789251827646,1789251835526,7880,0
pr18,recreate,riid/postgres:latest,riid-t7p4g,dfinit-containerd,1789251827646,1789251835844,8198,0
pr18,recreate,riid/postgres:latest,riid-cmp5j,dfinit-containerd,1789251827645,1789251837765,10120,0
pr18,recreate,riid/postgres:latest,AGGREGATE,dfinit-containerd,1789251827637,1789251837773,10136,0
pr18,recreate,riid/mongo:latest,riid-67cbt,dfinit-containerd,1789251837789,1789251847977,10188,0
pr18,recreate,riid/mongo:latest,riid-xmgnr,dfinit-containerd,1789251837790,1789251849317,11527,0
pr18,recreate,riid/mongo:latest,riid-cmp5j,dfinit-containerd,1789251837789,1789251849376,11587,0
pr18,recreate,riid/mongo:latest,riid-t7p4g,dfinit-containerd,1789251837789,1789251849415,11626,0
pr18,recreate,riid/mongo:latest,riid-kmrbr,dfinit-containerd,1789251837790,1789251849428,11638,0
pr18,recreate,riid/mongo:latest,riid-9d6p4,dfinit-containerd,1789251837789,1789251849480,11691,0
pr18,recreate,riid/mongo:latest,riid-r85gx,dfinit-containerd,1789251837789,1789251849543,11754,0
pr18,recreate,riid/mongo:latest,riid-j2zfn,dfinit-containerd,1789251837789,1789251849774,11985,0
pr18,recreate,riid/mongo:latest,riid-6dcfg,dfinit-containerd,1789251837789,1789251849779,11990,0
pr18,recreate,riid/mongo:latest,riid-4mtg7,dfinit-containerd,1789251837788,1789251850282,12494,0
pr18,recreate,riid/mongo:latest,AGGREGATE,dfinit-containerd,1789251837781,1789251850291,12510,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-kmrbr,dfinit-containerd,1789251850309,1789251853603,3294,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-xmgnr,dfinit-containerd,1789251850309,1789251853609,3300,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-t7p4g,dfinit-containerd,1789251850309,1789251853736,3427,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-9d6p4,dfinit-containerd,1789251850309,1789251853991,3682,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-6dcfg,dfinit-containerd,1789251850309,1789251854095,3786,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-4mtg7,dfinit-containerd,1789251850309,1789251854203,3894,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-j2zfn,dfinit-containerd,1789251850309,1789251854296,3987,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-67cbt,dfinit-containerd,1789251850309,1789251854476,4167,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-r85gx,dfinit-containerd,1789251850309,1789251854993,4684,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,riid-cmp5j,dfinit-containerd,1789251850309,1789251855086,4777,0
pr18,recreate,riid/seabreeze/sbz-helloworld:1.1-alpine,AGGREGATE,dfinit-containerd,1789251850301,1789251855094,4793,0
pr18,recreate,riid/mysql:latest,riid-t7p4g,dfinit-containerd,1789251855113,1789251869333,14220,0
pr18,recreate,riid/mysql:latest,riid-kmrbr,dfinit-containerd,1789251855111,1789251869412,14301,0
pr18,recreate,riid/mysql:latest,riid-6dcfg,dfinit-containerd,1789251855111,1789251869437,14326,0
pr18,recreate,riid/mysql:latest,riid-xmgnr,dfinit-containerd,1789251855112,1789251869609,14497,0
pr18,recreate,riid/mysql:latest,riid-r85gx,dfinit-containerd,1789251855112,1789251870201,15089,0
pr18,recreate,riid/mysql:latest,riid-j2zfn,dfinit-containerd,1789251855110,1789251870204,15094,0
pr18,recreate,riid/mysql:latest,riid-67cbt,dfinit-containerd,1789251855110,1789251870351,15241,0
pr18,recreate,riid/mysql:latest,riid-4mtg7,dfinit-containerd,1789251855110,1789251870397,15287,0
pr18,recreate,riid/mysql:latest,riid-cmp5j,dfinit-containerd,1789251855110,1789251870685,15575,0
pr18,recreate,riid/mysql:latest,riid-9d6p4,dfinit-containerd,1789251855110,1789251870693,15583,0
pr18,recreate,riid/mysql:latest,AGGREGATE,dfinit-containerd,1789251855102,1789251870701,15599,0
pr18,recreate,riid/sonarqube:latest,riid-cmp5j,dfinit-containerd,1789251870716,1789251888809,18093,0
pr18,recreate,riid/sonarqube:latest,riid-xmgnr,dfinit-containerd,1789251870717,1789251889076,18359,0
pr18,recreate,riid/sonarqube:latest,riid-9d6p4,dfinit-containerd,1789251870716,1789251889088,18372,0
pr18,recreate,riid/sonarqube:latest,riid-kmrbr,dfinit-containerd,1789251870718,1789251889133,18415,0
pr18,recreate,riid/sonarqube:latest,riid-4mtg7,dfinit-containerd,1789251870717,1789251889278,18561,0
pr18,recreate,riid/sonarqube:latest,riid-j2zfn,dfinit-containerd,1789251870716,1789251889571,18855,0
pr18,recreate,riid/sonarqube:latest,riid-r85gx,dfinit-containerd,1789251870717,1789251889653,18936,0
pr18,recreate,riid/sonarqube:latest,riid-t7p4g,dfinit-containerd,1789251870718,1789251889864,19146,0
pr18,recreate,riid/sonarqube:latest,riid-67cbt,dfinit-containerd,1789251870717,1789251889916,19199,0
pr18,recreate,riid/sonarqube:latest,riid-6dcfg,dfinit-containerd,1789251870717,1789251890100,19383,0
pr18,recreate,riid/sonarqube:latest,AGGREGATE,dfinit-containerd,1789251870709,1789251890108,19399,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-t7p4g,dfinit-containerd,1789251890126,1789251897167,7041,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-xmgnr,dfinit-containerd,1789251890126,1789251897323,7197,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-r85gx,dfinit-containerd,1789251890126,1789251897501,7375,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-9d6p4,dfinit-containerd,1789251890123,1789251897560,7437,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-67cbt,dfinit-containerd,1789251890123,1789251897702,7579,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-j2zfn,dfinit-containerd,1789251890124,1789251897958,7834,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-cmp5j,dfinit-containerd,1789251890124,1789251898043,7919,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-kmrbr,dfinit-containerd,1789251890124,1789251898746,8622,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-6dcfg,dfinit-containerd,1789251890124,1789251899008,8884,0
pr18,recreate,riid/jenkins/jenkins:latest,riid-4mtg7,dfinit-containerd,1789251890124,1789251899806,9682,0
pr18,recreate,riid/jenkins/jenkins:latest,AGGREGATE,dfinit-containerd,1789251890116,1789251899813,9697,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-t7p4g,dfinit-containerd,1789251899831,1789251904537,4706,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-kmrbr,dfinit-containerd,1789251899831,1789251904684,4853,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-9d6p4,dfinit-containerd,1789251899831,1789251904821,4990,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-j2zfn,dfinit-containerd,1789251899831,1789251904857,5026,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-4mtg7,dfinit-containerd,1789251899830,1789251905200,5370,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-xmgnr,dfinit-containerd,1789251899833,1789251905522,5689,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-6dcfg,dfinit-containerd,1789251899831,1789251905741,5910,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-r85gx,dfinit-containerd,1789251899831,1789251905847,6016,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-67cbt,dfinit-containerd,1789251899831,1789251906089,6258,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,riid-cmp5j,dfinit-containerd,1789251899830,1789251906297,6467,0
pr18,recreate,riid/istio/proxyv2:1.31.0-rc.4-debug,AGGREGATE,dfinit-containerd,1789251899822,1789251906306,6484,0
