# Generated by init-performance-registry-images.sh (2026-05-01T23:00:27Z)
# tag (POPULAR_IMAGES_REFERENCE): latest
# REG_HOST=cr.selcloud.ru  REG_PREFIX=cr.selcloud.ru/riid
# merge: images_list.sizes.tsv ∪ Java library/*; skip: clefos + REGISTRY_MIRROR_SKIP; в таблице только успешно зеркалированные (см. unsuccessfule_downloads.txt)
# Columns: docker_hub_repository<TAB>riid_registry_path<TAB>reference (tag on mirror)
library/eggdrop	riid/eggdrop	latest
library/hitch	riid/hitch	latest
library/spiped	riid/spiped	latest
library/express-gateway	riid/express-gateway	latest
library/thrift	riid/thrift	latest
library/alt	riid/alt	latest
library/hylang	riid/hylang	latest
library/irssi	riid/irssi	latest
library/unit	riid/unit	latest
library/euleros	riid/euleros	latest
# skip mirror: library/clefos
library/krakend	riid/krakend	latest
library/neurodebian	riid/neurodebian	latest
library/almalinux	riid/almalinux	latest
library/clearlinux	riid/clearlinux	latest
library/sl	riid/sl	latest
library/fluentd	riid/fluentd	latest
library/celery	riid/celery	latest
library/rapidoid	riid/rapidoid	latest
library/satosa	riid/satosa	latest
library/swipl	riid/swipl	latest
library/mageia	riid/mageia	latest
library/emqx	riid/emqx	latest
library/liquibase	riid/liquibase	latest
ollama/ollama	riid/ollama/ollama	rocm
cimg/android	riid/cimg/android	2026.03.1-ndk
linuxserver/faster-whisper	riid/linuxserver/faster-whisper	3.1.0-gpu
