repository	tag	version	size_bytes	size_human	amd64_digest	loaded_bytes
library/nextcloud	latest	34.0.3	552502828	526.9 MiB	sha256:8d98337e5c7d6fdbc3aa750871e4019abba9a47f6b93d838b1e6f4073e3466f3	566244680548027312
grafana/grafana	latest	13.2.0	474088374	452.1 MiB	sha256:95a8098fb092130e111b0264a9be4d3a2bd5405e5dba88d4b8f1f630b389614e	2516353885010252502
library/solr	latest	10.0.0	468239083	446.5 MiB	sha256:1e5257b777bbfe975b248491e393d3db18432c85083ccc1f288c06147a335ff4	166586839196287822
localstack/localstack	latest	2026.8.0	453003050	432.0 MiB	sha256:0704b41c06bb7e65725e1e12cad563525fc912f2c184d80d1f735a8fc6248f19	245969137641447650
renovate/renovate	latest	44.50.0	444477736	423.9 MiB	sha256:8613c444c6a5267fb35e33debea98f1b70760e9b3acc7530ff1bb224a38b4de6	646284417176803928
library/node	latest	26.8.1	443273684	422.7 MiB	sha256:3779eb08da9114e6957b0c42a84a9471167c47e0d5fdb73ea8e8559a26789556	3042103956509586948
cimg/base	current	2026.08	437335535	417.1 MiB	sha256:48a9fb47711372a749d4b1c5f4083b467e61f0a496f8b9a89d8511877634e96d	167661276383376685
linuxserver/nextcloud	latest	34.0.3	433632641	413.5 MiB	sha256:6ad7c8697d68fa9f462f8814f4b81888bfede13848241506f6689798679416bb	140946546059087314
library/ruby	latest	4.0.6	428922274	409.1 MiB	sha256:7b9a0d9e150467fa9e5eb35ba6dd751d07c7a4d0b4a96726c30e99d4d524bc22	672786699856836070
library/python	latest	3.14.7	414967043	395.7 MiB	sha256:779838536f5a0d42d150edbf59fcb08af24fd21b3dd6af7f308dbadcbb6ff3cc	3789918448182602001
dynatrace/dynatrace-codemodules	1.339-fips	1.339.81.20260828-085750-fips	393711051	375.5 MiB	sha256:96c0501c6085caff1de32b4686c286b6f11fa4a364e1ce0f0e406ddc20a006dd	240062113263827472
pinetwork/pi-node-docker	mainnet-relay-v1.0-p27.1.0	null	366656912	349.7 MiB	sha256:a99ecf0f3318bb3f4bdf128192fd5f29b8d9240023fb9350491593ea3b6290f8	615903893980849872
itzg/minecraft-server	latest	null	352474758	336.1 MiB	sha256:956fb2dca5330874dda3a4911e9827ee9857af3c6302e98a3a0ed52156b505b5	151844338699376940
cathive/concourse-sonarqube-resource	latest	v0.15.0	339906269	324.2 MiB	sha256:43782dbb1d2670a7f38d2451382009dfe104a2421ee43490563f57fa6148b214	158864434489260227
