repository	tag	size_bytes	size_human
riid/ollama/ollama	rocm	1503238554	1.4 GiB
riid/pytorch/pytorch	2.11.0-cuda12.8-cudnn9-devel	14065618896	13.1 GiB
riid/cimg/android	2026.03.1-ndk	5003635700	4.66 GiB
riid/linuxserver/faster-whisper	3.1.0-gpu	1610612736	1.5 GiB
riid/pytorch/almalinux-builder	cuda13.2-44c38d967b9e69e8191c1ecbf5b67f890584f8a3	7196069581	6.7 GiB
riid/pytorch/torchserve	0.12.0-cpp-dev-gpu	5153960755	4.8 GiB
